Item,Amount #,CAD Cost ($) ,Usage:,Link,Notes:
"M3x10mm/0.375"", socket head cap screws",,,These are the screws for the linear rails and other parts,,
"M3x20mm/0.88"", socket head cap screws",,,These are the screws for the linear rails and other parts,,
"M3x6mm/0.25"", socket head cap screws",,,"For the Y carriage, bolting a linear rail from underneath",,
"M2.5x14mm, socket head cap screws",,$16.99,These are the screws for mounting the fan to the positron hotend,https://www.amazon.ca/mxuteuk-480Pcs-Stainless-Assorted-G035-M2-5/dp/B0C7ZRTH3Q/ref=sr_1_1_sspa?crid=1BN1BNLUTEO83&dib=eyJ2IjoiMSJ9.j-oXw7YgnjpcahW0rJp2S2KGVGks0gxSQSUVhjJYc7ajVL83sB7_2mD5p1wlQ0U5KrRd1RPwIh03wbGC01g44-vcxtqAmSKeZESe1IV2iI6eVg_h4uGMzWUtBx387_J0e1QOnEQNxT6cLH8uNxeOtsuvrFD8ONgWLsIhJxPMOtPJzBis-G5-YTM-YNSkNMhhJ2RTofdkfF57o5YSo2Azll9k1qB0NNQnC0Ry8IPa40IcetIyIIf8pPJ1PHFNCFy86AXDq79hTZofsG8MLEj5jyL5UcjOgxGBPn-CKIxr3q8.Lp6w4XGJBdlLHDnv8fC4I1e58DDwrvJl1sQQbYFsztk&dib_tag=se&keywords=M2.5%2Bsocket%2Bhead%2Bcap%2Bscrews&qid=1782556960&sprefix=m2%2B5%2Bsocket%2Bhead%2Bcap%2Bscrews%2Caps%2C173&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
"M2.5x25mm, socket head cap screws",,,"These are the M2.5 cap screws for mounting the extruders, Nema 11 to the top plate and extruder to the nema 11 from the bottom",,The length of these can also be changed to be more global
"M2.5x8mm, flat head socket cap screws",,$10.48,These are the countersunk flat head cap screw for mounting the hotend plate to the positron hotend from the bottom,https://www.aliexpress.com/item/1005012356242603.html?src=google,The length of these can be changed
"M3x6mm, flat head socket cap screws",,,These are the flat head screws for one of the linear rail mounts for the hotend plate and X axis leadscrew linear rail mount,,
,,,,,
Stepper Motors,,,,,
11HS2810-T5X4,2,$85.06,These are the Nema 11's for my X/Y axes with integrated leadscrews!,https://www.aliexpress.com/item/4000511206852.html?src=google&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en4000511206852&ds_e_product_merchant_id=107732029&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=4&gad_campaignid=17337458112&gclid=CjwKCAjwuO_QBhAWEiwAIkVhU32AFwFviM5XSritA3Uf8XyrLBcjh1oN1-I--YNsOXRj6nc17HqiJRoCXPcQAvD_BwE,
35HS34-150N52,2,$100.97,These are the 2 Nema 14's for the Z axis with integrated leadscrews!,https://www.aliexpress.com/item/1005003623639443.html?spm=a2g0o.productlist.main.7.3377srsBsrsBBc&algo_pvid=2a0bcaa8-9a35-481d-85d4-9c60c296a5c9&algo_exp_id=2a0bcaa8-9a35-481d-85d4-9c60c296a5c9-6&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2139.18%2139.18%21%21%2127.73%2127.73%21%402103129017802882241465174e7f2b%2112000026542898420%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=7hzoTjL6dFmj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003623639443%7C_p_origin_prod%3A,
11HS2810,1,$26.38,This is the Nema 11 for the extruder,https://www.aliexpress.com/item/1005005224703770.html?spm=a2g0o.productlist.main.4.2d3ac0sCc0sCKD&algo_pvid=149fe937-c385-4f69-91fe-3f4378d8885c&algo_exp_id=149fe937-c385-4f69-91fe-3f4378d8885c-3&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2125.83%2123.79%21%21%2118.16%2116.73%21%402103212317808682870954281e06a2%2112000044458996949%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=pCFCBT3bWVn4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005224703770%7C_p_origin_prod%3A,
,,,,,
"Bed heater, PEI, thermistors and cork",,,,,
24V 100x100mm Silicone Bed Heater,1,$14.37,"This is the heater for the 3D printer bed. The heater is a bit smaller than the PEI sheet, so there's a bit of unheated space, but it'll be fine",https://www.aliexpress.com/item/1005004051777634.html?spm=a2g0o.productlist.main.2.798baj66aj66Zr&algo_pvid=0b09aebd-a6af-468f-aeba-b2863ee2c160&algo_exp_id=0b09aebd-a6af-468f-aeba-b2863ee2c160-1&pdp_ext_f=%7B%22order%22%3A%222116%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2171.28%2132.79%21%21%2150.11%2123.05%21%402101c44517806344603218403ea836%2112000036906291754%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=zmOjdQupdsw8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004051777634%7C_p_origin_prod%3A,
x4 NTC100K XH2.54 1M B3950,4,$4.99,Thermistors for the bed and MISC,https://www.aliexpress.com/item/32839681093.html?spm=a2g0o.productlist.main.6.4925JnvFJnvFPB&algo_pvid=71f6b9b4-0929-4723-b460-6596458ab1af&algo_exp_id=71f6b9b4-0929-4723-b460-6596458ab1af-5&pdp_ext_f=%7B%22order%22%3A%2242%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.59%213.59%21%21%212.52%212.52%21%4021033d1217806359270746876e0546%2112000040047143707%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=jNLwWSrSVgI3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32839681093%7C_p_origin_prod%3AA,
120x120mm Black PEI sheet with base,1,$12.48,This is the PEI sheet for my printer! It's a bit larger than the heater so there's a bit of unheated space on it,https://www.aliexpress.com/item/1005008559095059.html?spm=a2g0o.productlist.main.1.65b6cWmGcWmGJy&algo_pvid=c91173a4-4d95-4832-aa64-9e7dfe7ee520&algo_exp_id=c91173a4-4d95-4832-aa64-9e7dfe7ee520-0&pdp_ext_f=%7B%22order%22%3A%2231%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%218.58%217.89%21%21%2140.88%2137.59%21%402101e2b417806386214143776eedb4%2112000045712846298%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=Tv17pzmPMbsf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008559095059%7C_p_origin_prod%3A,
2x300x600mm cork adhesive,1,$10.48,This is cork adhesive to thermally space the metal base from the metal bed heat spreader,https://www.aliexpress.com/item/1005009769388038.html?spm=a2g0o.productlist.main.1.4e6fFzYWFzYWas&algo_pvid=4100f050-ffea-4d14-98ef-912be1265e21&algo_exp_id=4100f050-ffea-4d14-98ef-912be1265e21-0&pdp_ext_f=%7B%22order%22%3A%22276%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%218.59%218.59%21%21%2140.92%2140.92%21%402101e2b017806401862223337e2968%2112000050103324264%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=VJbhgLvk7WmK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009769388038%7C_p_origin_prod%3A#nav-review,
,,,,,
Electronics and power,,,,,
BTT SKR MINI E3 V3.0,1,$39.24,"This is my 3D printer motherboard, with shared Z axis steppers",https://www.aliexpress.com/item/1005003521537547.html?src=google&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005003521537547&ds_e_product_merchant_id=107690681&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17337458112&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SDffyjnGh0bAPMs6dT2v_V2xPLZCdsAUM470l-NMG8eY1R_YW5FYiMaAhRzEALw_wcB,
"24V, 8A DC Power Adapter (barrel jack)",1,$29.99,This will go into the barrel jack mount connector to be separated into wires which will plug into the MOBO,https://www.amazon.ca/Adapter-100-240V-Converter-Voltage-Transformer/dp/B0CBP2KXFB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A2C76CQVLWWNJ2&th=1,"Amazon because it's safer, more reliable and the price difference isn't crazy"
"20 AWG, Barrel Jack Mount Connector",1,$3.81,This is the barrel jack mount connector which will separate the power into the 2 wires for the MOBO,https://www.aliexpress.com/item/1005008014808796.html?spm=a2g0o.productlist.main.15.2c4aUELNUELNAZ&algo_pvid=29fa9f95-e07a-48ac-ba2b-4672a71df634&algo_exp_id=29fa9f95-e07a-48ac-ba2b-4672a71df634-14&pdp_ext_f=%7B%22order%22%3A%221837%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.74%213.74%21%21%2117.82%2117.82%21%40210311a017807774073615766ecbc6%2112000043256652623%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=eLFrNRpNAY51&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008014808796%7C_p_origin_prod%3A,Just in case that the above barrel jack connectors don't work
,,,,,
"Extruder, gears, PTFE",,,,,
HGX Lite Gear Kit,1,$14.28,These are all the components I need to construct my custom extruder :D ,https://www.aliexpress.com/item/1005007313875922.html?src=google&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005007313875922&ds_e_product_merchant_id=5382582542&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17337458112&gclid=CjwKCAjwxb7RBhA5EiwAQ-AAdLJpswlVs7F4z2gkdrvZcA3MaAqZgCTwOqh2Nz5YRUH_eAvD9xcx3RoCQg0QAvD_BwE,
5mm/0.5M 17T Set Screw Gear,1,$3.70,This is the gear that'll attach to the stepper on the extruder in order to drive motion to the reducing gear,https://www.aliexpress.com/item/1005006755339441.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.5889qFpWqFpWyC&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=1f31a18e-1ccb-49c8-9b6b-cbf08e222722&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A1f31a18e-1ccb-49c8-9b6b-cbf08e222722%2Ctpp_buckets%3A668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%22116%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21CAD%213.66%213.66%21%21%2117.39%2117.39%21%402101df0e17810538286502516e442e%2112000038196914867%21rec%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005006755339441%7C_p_origin_prod%3A#nav-specification,
PTFE Quick Connector,1,$3.54,These are extra PTFE quick connectors for the output of the bowden extruder,https://www.aliexpress.com/item/1005006648870088.html?spm=a2g0o.productlist.seoads.2.7fa54b25TL9F80&p4p_pvid=202606251738118618822932586020000436059_1,
2m PTFE 2.5x4mm and PTFE cutter,1,$6.49,This is all the PTFE for the printer and extra because I've never worked with PTFE before along with a flush cutter for precise cutting,https://www.aliexpress.com/item/1005010585958289.html?spm=a2g0o.productlist.main.1.1bdcn0XXn0XXoC&algo_pvid=fcfe5b46-2f86-4cca-aefa-5e4ed4e2670f&algo_exp_id=fcfe5b46-2f86-4cca-aefa-5e4ed4e2670f-0&pdp_ext_f=%7B%22order%22%3A%22131%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2113.89%2113.89%21%21%2165.00%2165.00%21%402101eecd17824343846547090e581d%2112000052902204863%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=Y93xcFtSckLr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010585958289%7C_p_origin_prod%3AA,
,,,,,
Hotend and fans,,,,,
Positron Hotend,1,$0.00,"This is the hotend I'll be using! I got it sponsored from LDO Motors, and the Funssor one is another option if you'd like a cheaper printer",https://lemontron.com/lemontron-rev-e/bom/positron/positron-hotend/,
2510 Fan,1,$3.81,This is the main fan for the positron hotend heatsink,https://www.aliexpress.com/item/1005007437708739.html?spm=a2g0o.productlist.main.5.79301f016ZYQif&algo_pvid=dba4c975-7b0b-4bb1-aadb-a167c0632a9b&algo_exp_id=dba4c975-7b0b-4bb1-aadb-a167c0632a9b-4&pdp_ext_f=%7B%22order%22%3A%2293%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.82%213.82%21%21%212.62%212.62%21%402101e2b017824346311198988e0b33%2112000040754472165%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=muacLadZQQRl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007437708739%7C_p_origin_prod%3A,
3010 Blower Fan,1,$5.10,This is the blower fan for cooling the filament once it gets extruded,https://www.aliexpress.com/item/1005007175610610.html?spm=a2g0o.productlist.main.4.1cf97b4d4mMgNz&aem_p4p_detail=202606261316155868458606472440000975312&algo_pvid=5e90786c-00a6-43ea-b4d3-d335f032c355&algo_exp_id=5e90786c-00a6-43ea-b4d3-d335f032c355-3&pdp_ext_f=%7B%22order%22%3A%22118%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.10%215.10%21%21%2123.88%2123.88%21%40210319b017825049754955747e50c4%2112000039706765224%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=ViSXO0x8tRUI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007175610610%7C_p_origin_prod%3A&search_p4p_id=202606261316155868458606472440000975312_1,
,,,,,
Linear Rails,,,,,
140mm MGN9H Rails,4,$108.36,"These are all the linear rails bought at a standard 150mm size, and are then going to be cut down for my build",https://www.aliexpress.com/item/1005009577277063.html?spm=a2g0o.productlist.main.13.45d8eX5ieX5iiP&algo_pvid=40e16fc6-f0b1-4aee-b319-a7db81a96623&algo_exp_id=40e16fc6-f0b1-4aee-b319-a7db81a96623-12&pdp_ext_f=%7B%22order%22%3A%221552%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2123.50%2110.74%21%21%21110.02%2150.28%21%402103122117825543708477522ee931%2112000049537083039%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895%3BpisId%3A5000000209757785&curPageLogUid=LKLMsBYxQMyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009577277063%7C_p_origin_prod%3A#nav-specification,
124mm MGN9H Rails,2,,,https://www.aliexpress.com/item/1005009577277063.html?spm=a2g0o.productlist.main.13.45d8eX5ieX5iiP&algo_pvid=40e16fc6-f0b1-4aee-b319-a7db81a96623&algo_exp_id=40e16fc6-f0b1-4aee-b319-a7db81a96623-12&pdp_ext_f=%7B%22order%22%3A%221552%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2123.50%2110.74%21%21%21110.02%2150.28%21%402103122117825543708477522ee931%2112000049537083039%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895%3BpisId%3A5000000209757785&curPageLogUid=LKLMsBYxQMyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009577277063%7C_p_origin_prod%3A#nav-specification,
134mm MGN9H Rails,1,,,https://www.aliexpress.com/item/1005009577277063.html?spm=a2g0o.productlist.main.13.45d8eX5ieX5iiP&algo_pvid=40e16fc6-f0b1-4aee-b319-a7db81a96623&algo_exp_id=40e16fc6-f0b1-4aee-b319-a7db81a96623-12&pdp_ext_f=%7B%22order%22%3A%221552%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2123.50%2110.74%21%21%21110.02%2150.28%21%402103122117825543708477522ee931%2112000049537083039%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895%3BpisId%3A5000000209757785&curPageLogUid=LKLMsBYxQMyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009577277063%7C_p_origin_prod%3A#nav-specification,
158mm MGN9H Rails,1,$18.18,"These are the same rails, but I need to buy the 200mm version to cut down to 158mm",https://www.aliexpress.com/item/1005009577277063.html?spm=a2g0o.productlist.main.13.45d8eX5ieX5iiP&algo_pvid=40e16fc6-f0b1-4aee-b319-a7db81a96623&algo_exp_id=40e16fc6-f0b1-4aee-b319-a7db81a96623-12&pdp_ext_f=%7B%22order%22%3A%221552%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2123.50%2110.74%21%21%21110.02%2150.28%21%402103122117825543708477522ee931%2112000049537083039%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895%3BpisId%3A5000000209757785&curPageLogUid=LKLMsBYxQMyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009577277063%7C_p_origin_prod%3A#nav-specification,
,,,,,
Aluminum Plates,,,,,
"120x120mm, 1/8"", Custom Aluminum Bed",1,$70.00,The aluminum heat spreader for the bed,PCBWay,"It's still in audit, but the pieces themselves come to $39.38, there might be some shipping costs though"
"180x180mm, 1/8"", Custom Aluminum Base Plate",1,,This is the base plate for the entire 3D printer,,
"180x180mm, 1/8"", Custom Aluminum Top Plate",1,,This is the top plate for the entire 3D printer,,
,,,,,
Miscellaneous Extra,,,,,
